reduce: bytes=4294967296 n=1073741824 blksize=32
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
trial, dresult, bytes, n, blksize, read, written, totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
0,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,60476340,0.060476,75600837550.685104,75.600838,17754742168.590229,0.017755
1,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54708439,0.054708,83571420416.510147,83.571420,19626621479.731857,0.019627
2,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54701955,0.054702,83581326407.803894,83.581326,19628947886.780281,0.019629
3,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54552426,0.054552,83810424049.702209,83.810424,19682751120.912571,0.019683
4,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54053464,0.054053,84584069505.702713,84.584070,19864440584.233418,0.019864
5,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54060261,0.054060,84573434745.348343,84.573435,19861943026.875137,0.019862
6,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54059929,0.054060,84573954138.933487,84.573954,19862065005.671761,0.019862
7,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54059804,0.054060,84574149695.400299,84.574150,19862110931.811737,0.019862
8,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54057714,0.054058,84577419533.500809,84.577420,19862878848.336060,0.019863
9,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54058743,0.054059,84575809615.107040,84.575810,19862500761.440197,0.019863
10,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54058095,0.054058,84576823434.122116,84.576823,19862738855.300026,0.019863
11,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54059655,0.054060,84574382799.890228,84.574383,19862165676.048061,0.019862
12,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54058351,0.054058,84576422910.125397,84.576423,19862644792.846161,0.019863
13,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54058060,0.054058,84576878193.557083,84.576878,19862751715.470367,0.019863
14,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54056917,0.054057,84578666519.217133,84.578667,19863171701.042439,0.019863
15,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54056893,0.054057,84578704070.172882,84.578704,19863180519.827507,0.019863
16,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54056699,0.054057,84579007608.289215,84.579008,19863251805.294289,0.019863
17,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54054260,0.054054,84582823925.440842,84.582824,19864148061.595886,0.019864
18,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54055708,0.054056,84580558190.080505,84.580558,19863615957.078945,0.019864
19,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54058786,0.054059,84575742340.939743,84.575742,19862484962.203926,0.019862
20,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54055784,0.054056,84580439273.621490,84.580439,19863588029.728695,0.019864
21,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54056786,0.054057,84578871485.256256,84.578871,19863219837.006218,0.019863
22,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54053604,0.054054,84583850431.138687,84.583850,19864389134.903938,0.019864
23,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54056592,0.054057,84579175024.574249,84.579175,19863291122.755203,0.019863
24,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54053874,0.054054,84583427933.398438,84.583428,19864289911.949696,0.019864
25,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54055527,0.054056,84580841400.362259,84.580841,19863682468.584572,0.019864
26,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54055221,0.054055,84581320202.168808,84.581320,19863794914.463490,0.019864
27,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54055087,0.054055,84581529875.254852,84.581530,19863844155.870102,0.019864
28,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54052968,0.054053,84584845664.719101,84.584846,19864622864.002583,0.019865
29,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54056601,0.054057,84579160942.805115,84.579161,19863287815.673058,0.019863
best result:
-1,42.000000,4294967296,1073741824,32,4433514624,138547332,4572061956,1073741824,54052968,0.054053,84584845664.719101,84.584846,19864622864.002583,0.019865
