reduce9: bytes=4294967296 n=1073741824 blksize=64
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce9,0,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,5201812,0.005202,826070792254.698975,826.070792,206416883962.742218,0.206417
reduce9,1,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4946291,0.004946,868744875705.857178,868.744876,217080196858.615875,0.217080
reduce9,2,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4949614,0.004950,868161630381.682373,868.161630,216934456707.129089,0.216934
reduce9,3,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4942568,0.004943,869399259656.114014,869.399260,217243712984.828949,0.217244
reduce9,4,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4943928,0.004944,869160101037.070068,869.160101,217183952517.107849,0.217184
reduce9,5,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4940500,0.004940,869763173767.837280,869.763174,217334647100.495911,0.217335
reduce9,6,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4943132,0.004943,869300063198.797852,869.300063,217218925976.486145,0.217219
reduce9,7,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4945583,0.004946,868869243524.979736,868.869244,217111273635.484436,0.217111
reduce9,8,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4944276,0.004944,869098925707.221802,869.098926,217168666150.514252,0.217169
reduce9,9,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4942473,0.004942,869415970507.072021,869.415971,217247888658.167664,0.217248
reduce9,10,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4942820,0.004943,869354935037.084106,869.354935,217232637239.470612,0.217233
reduce9,11,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4945506,0.004946,868882771550.575439,868.882772,217114653990.916199,0.217115
reduce9,12,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4942036,0.004942,869492848696.367188,869.492849,217267098823.238007,0.217267
reduce9,13,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4941546,0.004942,869579066955.968872,869.579067,217288642866.018066,0.217289
reduce9,14,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4947041,0.004947,868613168963.022583,868.613169,217047286246.465302,0.217047
reduce9,15,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4943515,0.004944,869232713969.715942,869.232714,217202096888.549957,0.217202
reduce9,16,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4938176,0.004938,870172500939.618164,870.172501,217436928938.944275,0.217437
reduce9,17,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4934072,0.004934,870896282016.152100,870.896282,217617785877.465912,0.217618
reduce9,18,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4933603,0.004934,870979071481.835938,870.979071,217638473140.218231,0.217638
reduce9,19,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4934932,0.004935,870744512791.665527,870.744513,217579862093.337830,0.217580
reduce9,20,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4937025,0.004937,870375369782.409424,870.375370,217487621391.424988,0.217488
reduce9,21,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4938518,0.004939,870112240149.777710,870.112240,217421871095.741669,0.217422
reduce9,22,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4933960,0.004934,870916051204.306396,870.916051,217622725761.862671,0.217623
reduce9,23,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4936824,0.004937,870410806623.853638,870.410807,217496476277.055847,0.217496
reduce9,24,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4936004,0.004936,870555404736.300903,870.555405,217532608158.340240,0.217533
reduce9,25,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4936769,0.004937,870420503774.837402,870.420504,217498899381.356537,0.217499
reduce9,26,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4932447,0.004932,871183199738.385376,871.183200,217689480292.438995,0.217689
reduce9,27,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4935802,0.004936,870591032622.459229,870.591033,217541510781.834412,0.217542
reduce9,28,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4932426,0.004932,871186908835.530396,871.186909,217690407114.065155,0.217690
reduce9,29,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4931724,0.004932,871310916831.517700,871.310917,217721393979.062897,0.217721
reduce9,-1,42.000000,4294967296,1073741824,64,4296016128,1048832,4297064960,1073741824,4931724,0.004932,871310916831.517700,871.310917,217721393979.062897,0.217721
