reduce: bytes=4294967296 n=1073741824 blksize=64
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
trial, dresult, bytes, n, blksize, read, written, totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
0,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,29474434,0.029474,150344378453.543823,150.344378,36429599428.440254,0.036430
1,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26617914,0.026618,166478690253.488678,166.478690,40339067291.298637,0.040339
2,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26606130,0.026606,166552424572.833405,166.552425,40356933684.079575,0.040357
3,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26604780,0.026605,166560875902.751312,166.560876,40358981506.330818,0.040359
4,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26605056,0.026605,166559148005.552032,166.559148,40358562823.547523,0.040359
5,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26609606,0.026610,166530667909.926971,166.530668,40351661877.293488,0.040352
6,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26609653,0.026610,166530373770.751526,166.530374,40351590605.108604,0.040352
7,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26611262,0.026611,166520304824.325867,166.520305,40349150821.933960,0.040349
8,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26610454,0.026610,166525361047.955078,166.525361,40350375983.814484,0.040350
9,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26610904,0.026611,166522545043.941376,166.522545,40349693644.379761,0.040350
10,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26609783,0.026610,166529560199.720520,166.529560,40351393470.589371,0.040351
11,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26610555,0.026611,166524729003.209442,166.524729,40350222834.510590,0.040350
12,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26609654,0.026610,166530367512.482513,166.530368,40351589088.681877,0.040352
13,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26609442,0.026609,166531694276.039307,166.531694,40351910573.697861,0.040352
14,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26607816,0.026608,166541871005.121216,166.541871,40354376473.439232,0.040354
15,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26608605,0.026609,166536932695.269073,166.536933,40353179882.973946,0.040353
16,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26607314,0.026607,166545013149.391937,166.545013,40355137839.167084,0.040355
17,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26607463,0.026607,166544080508.540009,166.544081,40354911853.114288,0.040355
18,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26610006,0.026610,166528164631.003845,166.528165,40351055313.553856,0.040351
19,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26607039,0.026607,166546734493.830750,166.546734,40355554934.166107,0.040356
20,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26608469,0.026608,166537783891.286652,166.537784,40353386134.316864,0.040353
21,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26607026,0.026607,166546815867.357758,166.546816,40355574651.597664,0.040356
22,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26607590,0.026608,166543285581.294647,166.543286,40354719236.127739,0.040355
23,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26609530,0.026610,166531143541.430450,166.531144,40351777126.465591,0.040352
24,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26608222,0.026608,166539329835.717682,166.539330,40353760728.544731,0.040354
25,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26606617,0.026607,166549376044.312592,166.549376,40356195002.168068,0.040356
26,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26606876,0.026607,166547754798.421265,166.547755,40355802161.817116,0.040356
27,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26607352,0.026607,166544775293.685730,166.544775,40355080204.899757,0.040355
28,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26611969,0.026612,166515880880.516602,166.515881,40348078866.317635,0.040348
29,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26607071,0.026607,166546534190.103088,166.546534,40355506399.032051,0.040356
best result:
-1,42.000000,4294967296,1073741824,64,4363141376,68174084,4431315460,1073741824,26604780,0.026605,166560875902.751312,166.560876,40358981506.330818,0.040359
