reduce7: bytes=4294967296 n=1073741824 blksize=256
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce7,0,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,5124672,0.005125,838505363855.481812,838.505364,209524009341.475891,0.209524
reduce7,1,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4914682,0.004915,874332247742.580322,874.332248,218476357982.062714,0.218476
reduce7,2,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4915192,0.004915,874241527085.818848,874.241527,218453688889.467621,0.218454
reduce7,3,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4915203,0.004915,874239570573.178833,874.239571,218453200000.081390,0.218453
reduce7,4,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4917335,0.004917,873860528111.263550,873.860528,218358485643.138000,0.218358
reduce7,5,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4914850,0.004915,874302361211.430664,874.302361,218468889996.642822,0.218469
reduce7,6,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4912903,0.004913,874648850180.840210,874.648850,218555469953.304596,0.218555
reduce7,7,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4917630,0.004918,873808106750.609497,873.808107,218345386700.504089,0.218345
reduce7,8,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4917245,0.004917,873876522320.933838,873.876522,218362482243.614075,0.218362
reduce7,9,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4914146,0.004914,874427613668.783936,874.427614,218500187825.107330,0.218500
reduce7,10,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4909782,0.004910,875204838015.211304,875.204838,218694399058.858429,0.218694
reduce7,11,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4910425,0.004910,875090233533.757202,875.090234,218665761924.884277,0.218666
reduce7,12,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4911018,0.004911,874984567354.467163,874.984567,218639358275.616180,0.218639
reduce7,13,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4910743,0.004911,875033566203.729126,875.033566,218651602008.087158,0.218652
reduce7,14,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4911151,0.004911,874960871697.897339,874.960872,218633437253.303772,0.218633
reduce7,15,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4910281,0.004910,875115896625.875366,875.115897,218672174565.976990,0.218672
reduce7,16,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4910522,0.004911,875072947438.174683,875.072947,218661442510.592590,0.218661
reduce7,17,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4909622,0.004910,875233360124.262207,875.233360,218701526105.268402,0.218702
reduce7,18,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4910534,0.004911,875070808999.591431,875.070809,218660908161.922913,0.218661
reduce7,19,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4911556,0.004912,874888723654.988403,874.888724,218615409047.560486,0.218615
reduce7,20,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4909425,0.004909,875268480524.704956,875.268481,218710301919.267517,0.218710
reduce7,21,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4908300,0.004908,875469095206.079468,875.469095,218760431106.493073,0.218760
reduce7,22,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4911389,0.004911,874918472147.084961,874.918472,218622842540.063507,0.218623
reduce7,23,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4910081,0.004910,875151542306.532227,875.151542,218681081635.924133,0.218681
reduce7,24,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4911303,0.004911,874933792519.011841,874.933793,218626670763.339203,0.218627
reduce7,25,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4911834,0.004912,874839206699.574829,874.839207,218603035851.781616,0.218603
reduce7,26,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4912668,0.004913,874690689458.355347,874.690689,218565924666.596619,0.218566
reduce7,27,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4913158,0.004913,874603454641.597168,874.603455,218544126608.588623,0.218544
reduce7,28,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4910243,0.004910,875122669081.754272,875.122669,218673866853.432709,0.218674
reduce7,29,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4911583,0.004912,874883914208.514893,874.883914,218614207272.889435,0.218614
reduce7,-1,42.000000,4294967296,1073741824,256,4296016128,1048832,4297064960,1073741824,4908300,0.004908,875469095206.079468,875.469095,218760431106.493073,0.218760
