reduce8: bytes=4294967296 n=1073741824 blksize=512
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce8,0,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,5158436,0.005158,832712011159.971802,832.712011,208152591987.183716,0.208153
reduce8,1,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4926251,0.004926,871959552203.084961,871.959552,217963279581.166260,0.217963
reduce8,2,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4928411,0.004928,871577394011.984863,871.577394,217867751695.221863,0.217868
reduce8,3,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4931371,0.004931,871054239480.258057,871.054239,217736979026.725006,0.217737
reduce8,4,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4926057,0.004926,871993892072.300415,871.993892,217971863500.564453,0.217972
reduce8,5,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4930628,0.004931,871185499291.368164,871.185499,217769789974.015472,0.217770
reduce8,6,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4930245,0.004930,871253176262.031616,871.253176,217786707151.470184,0.217787
reduce8,7,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4928679,0.004929,871530001446.635132,871.530001,217855905000.102448,0.217856
reduce8,8,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4929016,0.004929,871470414378.853760,871.470414,217841010051.499146,0.217841
reduce8,9,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4931895,0.004932,870961692412.348511,870.961692,217713845083.887604,0.217714
reduce8,10,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4930204,0.004930,871260421678.291626,871.260422,217788518284.436127,0.217789
reduce8,11,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4927225,0.004927,871787185687.684204,871.787186,217920193212.203613,0.217920
reduce8,12,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4929445,0.004929,871394572005.570557,871.394572,217822051772.562622,0.217822
reduce8,13,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4927574,0.004928,871725440551.476318,871.725441,217904758812.348633,0.217905
reduce8,14,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4927176,0.004927,871795855475.834351,871.795855,217922360394.676392,0.217922
reduce8,15,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4930023,0.004930,871292408980.647705,871.292409,217796514133.909698,0.217797
reduce8,16,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4926555,0.004927,871905746713.474243,871.905747,217949829850.676575,0.217950
reduce8,17,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4932441,0.004932,870865280699.759033,870.865281,217689745097.812622,0.217690
reduce8,18,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4929209,0.004929,871436292516.709961,871.436293,217832480627.216248,0.217832
reduce8,19,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4928228,0.004928,871609758314.753296,871.609758,217875841783.294128,0.217876
reduce8,20,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4925463,0.004925,872099052616.982422,872.099053,217998150427.685699,0.217998
reduce8,21,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4928841,0.004929,871501356201.184082,871.501356,217848744562.869873,0.217849
reduce8,22,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4929166,0.004929,871443894565.531006,871.443895,217834380907.439545,0.217834
reduce8,23,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4931063,0.004931,871108646553.491577,871.108647,217750579134.762604,0.217751
reduce8,24,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4928726,0.004929,871521690595.094971,871.521691,217853827540.829041,0.217854
reduce8,25,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4925210,0.004925,872143850922.092651,872.143851,218009348636.910919,0.218009
reduce8,26,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4930377,0.004930,871229850374.525146,871.229850,217780876391.399689,0.217781
reduce8,27,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4931125,0.004931,871097693933.940063,871.097694,217747841314.101776,0.217748
reduce8,28,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4928546,0.004929,871553520247.147949,871.553520,217861783982.537659,0.217862
reduce8,29,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4929733,0.004930,871343664251.187622,871.343664,217809326387.453430,0.217809
reduce8,-1,42.000000,4294967296,1073741824,512,4295229456,262160,4295491616,1073741824,4925210,0.004925,872143850922.092651,872.143851,218009348636.910919,0.218009
