reduce: bytes=4294967296 n=1073741824 blksize=512
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
trial, dresult, bytes, n, blksize, read, written, totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
0,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,30932965,0.030933,139391013567.564575,139.391014,34711894705.211739,0.034712
1,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27726089,0.027726,155513363027.868805,155.513363,38726768279.507439,0.038727
2,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27688938,0.027689,155722019529.965363,155.722020,38778729036.122658,0.038779
3,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27679222,0.027679,155776681295.449707,155.776681,38792341200.919594,0.038792
4,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27678542,0.027679,155780508380.824402,155.780508,38793294242.160583,0.038793
5,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27592508,0.027593,156266235167.894104,156.266235,38914252521.010414,0.038914
6,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27556205,0.027556,156472102889.349243,156.472103,38965518800.575043,0.038966
7,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27563114,0.027563,156432881422.614288,156.432881,38955751661.441444,0.038956
8,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27561824,0.027562,156440203086.704285,156.440203,38957574941.339149,0.038958
9,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27564937,0.027565,156422535774.342590,156.422536,38953175332.851295,0.038953
10,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27565035,0.027565,156421979656.474213,156.421980,38953036845.409409,0.038953
11,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27565955,0.027566,156416759150.916412,156.416759,38951736807.231964,0.038952
12,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27565689,0.027566,156418268522.147217,156.418269,38952112678.917618,0.038952
13,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27565872,0.027566,156417230117.008453,156.417230,38951854089.723694,0.038952
14,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27564295,0.027564,156426179011.652588,156.426179,38954082591.265259,0.038954
15,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27564510,0.027565,156424958905.491150,156.424959,38953778753.912186,0.038954
16,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27564180,0.027564,156426831634.389252,156.426832,38954245110.864899,0.038954
17,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27560523,0.027561,156447587877.777222,156.447588,38959413941.455322,0.038959
18,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27563678,0.027564,156429680538.279388,156.429681,38954954560.128006,0.038955
19,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27562028,0.027562,156439045196.529083,156.439045,38957286597.343277,0.038957
20,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27559342,0.027559,156454292123.520203,156.454292,38961083468.538544,0.038961
21,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27559745,0.027560,156452004327.325958,156.452004,38960513749.310814,0.038961
22,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27558486,0.027558,156459151783.592163,156.459152,38962293647.045776,0.038962
23,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27560368,0.027560,156448467741.795044,156.448468,38959633049.892517,0.038960
24,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27563904,0.027564,156428397951.175568,156.428398,38954635163.436935,0.038955
25,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27564808,0.027565,156423267813.075287,156.423268,38953357629.046425,0.038953
26,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27563335,0.027563,156431627159.775818,156.431627,38955439318.210220,0.038955
27,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27561908,0.027562,156439726306.321045,156.439726,38957456210.941566,0.038957
28,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27561842,0.027562,156440100919.234650,156.440101,38957549499.050171,0.038958
29,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27560396,0.027560,156448308797.885193,156.448309,38959593468.831146,0.038960
best result:
-1,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,27556205,0.027556,156472102889.349243,156.472103,38965518800.575043,0.038966
