reduce: bytes=4294967296 n=1073741824 blksize=128
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
trial, dresult, bytes, n, blksize, read, written, totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
0,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20683092,0.020683,210926131160.660126,210.926131,51913989649.129829,0.051914
1,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20516938,0.020517,212634291530.246887,212.634292,52334408964.924500,0.052334
2,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20514829,0.020515,212656151118.783417,212.656151,52339789134.971588,0.052340
3,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20517132,0.020517,212632280964.025574,212.632281,52333914116.261475,0.052334
4,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20515982,0.020516,212644199824.312592,212.644200,52336847634.200500,0.052337
5,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20514854,0.020515,212655891969.789307,212.655892,52339725352.176529,0.052340
6,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20514753,0.020515,212656938935.604034,212.656939,52339983035.623192,0.052340
7,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20513072,0.020513,212674365692.276611,212.674366,52344272179.223083,0.052344
8,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20513808,0.020514,212666735303.362488,212.666735,52342394157.145271,0.052342
9,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20512693,0.020513,212678295141.452179,212.678295,52345239311.093872,0.052345
10,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20513985,0.020514,212664900359.437744,212.664900,52341942533.349815,0.052342
11,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20513234,0.020513,212672686130.329315,212.672686,52343858798.666260,0.052344
12,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20513021,0.020513,212674894448.750397,212.674894,52344402318.897835,0.052344
13,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20514285,0.020514,212661790357.304688,212.661790,52341177087.088341,0.052341
14,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20512286,0.020512,212682515054.636017,212.682515,52346277933.137238,0.052346
15,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20512933,0.020513,212675806819.044342,212.675807,52344626875.152374,0.052345
16,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20514337,0.020514,212661251299.517975,212.661251,52341044412.012924,0.052341
17,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20514489,0.020514,212659675607.810638,212.659676,52340656596.418266,0.052341
18,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20515071,0.020515,212653642583.055176,212.653643,52339171724.046188,0.052339
19,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20515339,0.020515,212650864604.284637,212.650865,52338487996.713089,0.052338
20,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20516377,0.020516,212640105804.255798,212.640106,52335839997.481041,0.052336
21,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20514730,0.020515,212657177355.002991,212.657177,52340041716.366730,0.052340
22,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20513682,0.020514,212668041553.924866,212.668042,52342715656.799210,0.052343
23,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20515503,0.020516,212649164682.922943,212.649165,52338069605.215134,0.052338
24,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20514187,0.020514,212662806281.331055,212.662806,52341427130.404922,0.052341
25,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20515369,0.020515,212650553641.028839,212.650554,52338411461.183083,0.052338
26,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20516752,0.020517,212636219222.223877,212.636219,52334883416.244446,0.052335
27,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20516252,0.020516,212641401363.172974,212.641401,52336158865.664162,0.052336
28,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20518087,0.020518,212622384143.317047,212.622384,52331478270.854393,0.052331
29,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20516224,0.020516,212641691570.534607,212.641692,52336230292.669838,0.052336
best result:
-1,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,20512286,0.020512,212682515054.636017,212.682515,52346277933.137238,0.052346
