reduce4: bytes=4294967296 n=1073741824 blksize=512
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce4,0,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,8109818,0.008110,530636334872.126648,530.636335,132400236848.718445,0.132400
reduce4,1,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7886697,0.007887,545648463482.241028,545.648463,136145946015.169601,0.136146
reduce4,2,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7890636,0.007891,545376076148.994873,545.376076,136077982053.664627,0.136078
reduce4,3,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7886652,0.007887,545651576866.837830,545.651577,136146722842.595322,0.136147
reduce4,4,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7886280,0.007886,545677315540.406860,545.677316,136153144955.543030,0.136153
reduce4,5,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7886568,0.007887,545657388613.145813,545.657389,136148172944.175461,0.136148
reduce4,6,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7889867,0.007890,545429232203.787476,545.429232,136091245137.592300,0.136091
reduce4,7,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7887607,0.007888,545585511549.954285,545.585512,136130238740.342926,0.136130
reduce4,8,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7245109,0.007245,593968165282.261475,593.968165,148202300890.159149,0.148202
reduce4,9,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7241788,0.007242,594240552195.120850,594.240552,148270264746.772491,0.148270
reduce4,10,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7243523,0.007244,594098217124.457275,594.098217,148234750410.815277,0.148235
reduce4,11,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7242058,0.007242,594218397588.088867,594.218398,148264736902.134735,0.148265
reduce4,12,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7241964,0.007242,594226110486.050415,594.226110,148266661364.237671,0.148267
reduce4,13,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7241323,0.007241,594278711224.454468,594.278711,148279785889.954102,0.148280
reduce4,14,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7241074,0.007241,594299146784.026733,594.299147,148284884811.286285,0.148285
reduce4,15,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7240334,0.007240,594359887264.869263,594.359887,148300040302.008148,0.148300
reduce4,16,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7239698,0.007240,594412101167.755859,594.412101,148313068307.545410,0.148313
reduce4,17,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7241028,0.007241,594302922181.767578,594.302922,148285826819.064911,0.148286
reduce4,18,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7241895,0.007242,594231772208.793457,594.231772,148268074033.108734,0.148268
reduce4,19,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7240989,0.007241,594306123100.035156,594.306123,148286625487.209015,0.148287
reduce4,20,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7242153,0.007242,594210602841.447876,594.210603,148262792017.788086,0.148263
reduce4,21,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7240877,0.007241,594315315672.397217,594.315316,148288919146.120026,0.148289
reduce4,22,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7148775,0.007149,601972239999.160767,601.972240,150199415144.552734,0.150199
reduce4,23,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7150068,0.007150,601863380879.734253,601.863381,150172253466.680328,0.150172
reduce4,24,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7129654,0.007130,603586667740.117554,603.586668,150602234554.439819,0.150602
reduce4,25,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7111452,0.007111,605131568067.955811,605.131568,150987706026.842346,0.150988
reduce4,26,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7114742,0.007115,604851743042.825684,604.851743,150917886270.507050,0.150918
reduce4,27,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7118926,0.007119,604496254069.785278,604.496254,150829187436.419464,0.150829
reduce4,28,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7119192,0.007119,604473667798.255737,604.473668,150823551886.225281,0.150824
reduce4,29,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7118459,0.007118,604535911494.327637,604.535911,150839082447.479156,0.150839
reduce4,-1,42.000000,4294967296,1073741824,512,4299165696,4198404,4303364100,1073741824,7111452,0.007111,605131568067.955811,605.131568,150987706026.842346,0.150988
