reduce8: bytes=4294967296 n=1073741824 blksize=128
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce8,0,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,5187793,0.005188,828303087652.109497,828.303088,206974685381.625702,0.206975
reduce8,1,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4928246,0.004928,871925825131.294189,871.925825,217875046010.284393,0.217875
reduce8,2,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4924570,0.004925,872576683852.600342,872.576684,218037681259.480530,0.218038
reduce8,3,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4925662,0.004926,872383237014.638916,872.383237,217989343158.340942,0.217989
reduce8,4,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4927587,0.004928,872042433751.042847,872.042434,217904183934.246124,0.217904
reduce8,5,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4926132,0.004926,872300003329.184082,872.300003,217968544894.858704,0.217969
reduce8,6,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4924957,0.004925,872508117329.755371,872.508117,218020547996.662720,0.218021
reduce8,7,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4927094,0.004927,872129689427.479980,872.129689,217925987204.628113,0.217926
reduce8,8,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4926388,0.004926,872254674215.672729,872.254674,217957218148.468994,0.217957
reduce8,9,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4929955,0.004930,871623566543.710938,871.623567,217799518251.180817,0.217800
reduce8,10,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4931457,0.004931,871358091533.597412,871.358092,217733181897.358124,0.217733
reduce8,11,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4926457,0.004926,872242457409.046631,872.242457,217954165437.757782,0.217954
reduce8,12,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4929912,0.004930,871631169075.634644,871.631169,217801417956.344879,0.217801
reduce8,13,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4929456,0.004929,871711799435.880981,871.711799,217821565706.236176,0.217822
reduce8,14,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4926757,0.004927,872189344836.775879,872.189345,217940893776.575531,0.217941
reduce8,15,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4930725,0.004931,871487450628.457153,871.487451,217765505884.023132,0.217766
reduce8,16,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4927825,0.004928,872000316569.683350,872.000317,217893659778.908539,0.217894
reduce8,17,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4917788,0.004918,873780032811.499756,873.780033,218338371641.884521,0.218338
reduce8,18,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4917126,0.004917,873897671119.267700,873.897671,218367766862.187378,0.218368
reduce8,19,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4918082,0.004918,873727798763.827026,873.727799,218325319504.636169,0.218325
reduce8,20,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4915067,0.004915,874263760799.191528,874.263761,218459244604.397034,0.218459
reduce8,21,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4917068,0.004917,873907979307.994141,873.907979,218370342651.352386,0.218370
reduce8,22,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4917508,0.004918,873829785330.293335,873.829785,218350803699.760132,0.218351
reduce8,23,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4914903,0.004915,874292933146.391724,874.292933,218466534130.988953,0.218467
reduce8,24,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4919961,0.004920,873394110237.865723,873.394110,218241938096.663788,0.218242
reduce8,25,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4918113,0.004918,873722291456.093018,873.722291,218323943349.817291,0.218324
reduce8,26,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4916661,0.004917,873980321197.658325,873.980321,218388419295.127319,0.218388
reduce8,27,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4916338,0.004916,874037741099.167725,874.037741,218402767262.950592,0.218403
reduce8,28,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4918493,0.004918,873654788163.772827,873.654788,218307075764.873505,0.218307
reduce8,29,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4917294,0.004917,873867814289.729248,873.867814,218360306298.545502,0.218360
reduce8,-1,42.000000,4294967296,1073741824,128,4296016128,1048832,4297064960,1073741824,4914903,0.004915,874292933146.391724,874.292933,218466534130.988953,0.218467
