reduce7: bytes=4294967296 n=1073741824 blksize=64
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce7,0,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,5212066,0.005212,825654183964.669800,825.654184,206010788044.510590,0.206011
reduce7,1,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4992059,0.004992,862041914969.354370,862.041915,215089970691.452148,0.215090
reduce7,2,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4997079,0.004997,861175918971.863403,861.175919,214873894128.950134,0.214874
reduce7,3,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4990286,0.004990,862348190063.655640,862.348190,215166390062.613647,0.215166
reduce7,4,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4990119,0.004990,862377049525.271729,862.377050,215173590850.238220,0.215174
reduce7,5,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4991623,0.004992,862117211175.603638,862.117211,215108758013.175293,0.215109
reduce7,6,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4993398,0.004993,861810754920.797485,861.810755,215032293440.258545,0.215032
reduce7,7,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4990240,0.004990,862356139183.686523,862.356139,215168373465.003693,0.215168
reduce7,8,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4987231,0.004987,862876433836.732300,862.876434,215298193326.116241,0.215298
reduce7,9,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4984992,0.004985,863263993201.995117,863.263993,215394894114.173126,0.215395
reduce7,10,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4990460,0.004990,862318122978.643188,862.318123,215158887958.224274,0.215159
reduce7,11,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4995057,0.004995,861524523143.579834,861.524523,214960875121.144775,0.214961
reduce7,12,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4993948,0.004994,861715840853.769409,861.715841,215008611223.024353,0.215009
reduce7,13,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4988928,0.004989,862582923626.077515,862.582924,215224958949.096863,0.215225
reduce7,14,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4983403,0.004983,863539252193.731934,863.539252,215463574589.492371,0.215464
reduce7,15,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4994344,0.004994,861647515669.725586,861.647516,214991563256.355560,0.214992
reduce7,16,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4984227,0.004984,863396490569.149414,863.396491,215427953823.130463,0.215428
reduce7,17,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4986132,0.004986,863066621581.618774,863.066622,215345647487.872375,0.215346
reduce7,18,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4986072,0.004986,863077007311.567017,863.077007,215348238854.152130,0.215348
reduce7,19,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4985154,0.004985,863235940153.503784,863.235940,215387894536.457642,0.215388
reduce7,20,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4983328,0.004983,863552248617.791138,863.552249,215466817355.791138,0.215467
reduce7,21,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4984814,0.004985,863294819024.340820,863.294819,215402585532.780182,0.215403
reduce7,22,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4977417,0.004977,864577771964.856567,864.577772,215722697937.504547,0.215723
reduce7,23,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4987362,0.004987,862853769186.996948,862.853769,215292538219.603851,0.215293
reduce7,24,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4983644,0.004984,863497492999.098755,863.497493,215453155161.163208,0.215453
reduce7,25,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4980363,0.004980,864066354199.483032,864.066354,215595092968.123016,0.215595
reduce7,26,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4979115,0.004979,864282929797.765259,864.282930,215649131221.110565,0.215649
reduce7,27,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4985789,0.004986,863125996707.843018,863.125997,215360462305.966003,0.215360
reduce7,28,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4987860,0.004988,862767619780.827759,862.767620,215271042892.142120,0.215271
reduce7,29,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4977269,0.004977,864603480342.332275,864.603480,215729112491.207520,0.215729
reduce7,-1,42.000000,4294967296,1073741824,64,4299165696,4198404,4303364100,1073741824,4977269,0.004977,864603480342.332275,864.603480,215729112491.207520,0.215729
