reduce3: bytes=4294967296 n=1073741824 blksize=128
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce3,0,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,14917694,0.014918,292444970114.013611,292.444970,71977734896.559753,0.071978
reduce3,1,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,14760665,0.014761,295556099674.371033,295.556100,72743458644.986526,0.072743
reduce3,2,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,14765505,0.014766,295459219037.885925,295.459219,72719613992.206833,0.072720
reduce3,3,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,14759407,0.014759,295581291036.963745,295.581291,72749658844.694778,0.072750
reduce3,4,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,14760243,0.014760,295564549716.424072,295.564550,72745538403.398911,0.072746
reduce3,5,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,14759362,0.014759,295582192238.390808,295.582192,72749880652.022766,0.072750
reduce3,6,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,14758687,0.014759,295595710919.270813,295.595711,72753207924.255051,0.072753
reduce3,7,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,14058163,0.014058,310325365839.050232,310.325366,76378529968.673721,0.076379
reduce3,8,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13447245,0.013447,324423670127.226807,324.423670,79848461450.654022,0.079848
reduce3,9,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13448012,0.013448,324405166800.862427,324.405167,79843907337.381912,0.079844
reduce3,10,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13450319,0.013450,324349524795.657227,324.349525,79830212502.766663,0.079830
reduce3,11,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13449497,0.013449,324369348236.592041,324.369348,79835091527.958267,0.079835
reduce3,12,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13449223,0.013449,324375956588.718933,324.375957,79836718002.222137,0.079837
reduce3,13,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13449609,0.013450,324366647089.889404,324.366647,79834426710.843414,0.079834
reduce3,14,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13450542,0.013451,324344147321.349609,324.344147,79828888977.113342,0.079829
reduce3,15,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13449389,0.013449,324371952956.375916,324.371953,79835732612.091141,0.079836
reduce3,16,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13358591,0.013359,326576700791.273560,326.576701,80378374036.603119,0.080378
reduce3,17,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212487,0.013212,330187993827.354370,330.187994,81267200035.844879,0.081267
reduce3,18,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212267,0.013212,330193491851.171326,330.193492,81268553231.629364,0.081269
reduce3,19,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13211858,0.013212,330203713663.891968,330.203714,81271069065.380508,0.081271
reduce3,20,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212873,0.013213,330178347737.089417,330.178348,81264825901.225266,0.081265
reduce3,21,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212230,0.013212,330194416536.799622,330.194417,81268780818.983627,0.081269
reduce3,22,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212659,0.013213,330183695499.898987,330.183695,81266142114.164902,0.081266
reduce3,23,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212217,0.013212,330194741427.574219,330.194741,81268860782.410706,0.081269
reduce3,24,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212843,0.013213,330179097413.024597,330.179097,81265010414.488388,0.081265
reduce3,25,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212587,0.013213,330185494786.145996,330.185495,81266584961.748978,0.081267
reduce3,26,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212725,0.013213,330182046171.399170,330.182046,81265736174.786057,0.081266
reduce3,27,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13213125,0.013213,330172050593.633240,330.172051,81263276022.893906,0.081263
reduce3,28,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212931,0.013213,330176898373.267822,330.176898,81264469177.959076,0.081264
reduce3,29,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13212017,0.013212,330199739827.764404,330.199740,81270091008.814178,0.081270
reduce3,-1,42.000000,4294967296,1073741824,128,4328785936,33818640,4362604576,1073741824,13211858,0.013212,330203713663.891968,330.203714,81271069065.380508,0.081271
