reduce7: bytes=4294967296 n=1073741824 blksize=512
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce7,0,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,5127732,0.005128,837800415466.330933,837.800415,209398974829.417755,0.209399
reduce7,1,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903791,0.004904,876060174668.944824,876.060175,218961579724.747650,0.218962
reduce7,2,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4905383,0.004905,875775856849.505859,875.775857,218890517621.152100,0.218891
reduce7,3,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4904298,0.004904,875969608698.329590,875.969609,218938943759.127228,0.218939
reduce7,4,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4906318,0.004906,875608959712.762207,875.608960,218848803522.315521,0.218849
reduce7,5,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4904337,0.004904,875962642860.798584,875.962643,218937202724.853546,0.218937
reduce7,6,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4904016,0.004904,876019980358.954834,876.019980,218951533600.216644,0.218952
reduce7,7,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4901504,0.004902,876468936881.414307,876.468937,219063745332.045013,0.219064
reduce7,8,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903263,0.004903,876154511801.630981,876.154512,218985158250.740387,0.218985
reduce7,9,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4901881,0.004902,876401528311.274780,876.401528,219046897303.300507,0.219047
reduce7,10,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4904065,0.004904,876011227420.517456,876.011227,218949345899.779053,0.218949
reduce7,11,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4904702,0.004905,875897455135.908325,875.897455,218920909771.888275,0.218921
reduce7,12,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4904111,0.004904,876003010535.446655,876.003011,218947292179.968994,0.218947
reduce7,13,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4905665,0.004906,875725513258.651001,875.725513,218877934795.792206,0.218878
reduce7,14,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903024,0.004903,876197220327.699829,876.197220,218995832775.854248,0.218996
reduce7,15,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4905418,0.004905,875769608216.873657,875.769608,218888955844.333771,0.218889
reduce7,16,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903451,0.004903,876120919735.916626,876.120920,218976762284.358521,0.218977
reduce7,17,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4902922,0.004903,876215448665.102173,876.215449,219000388747.771240,0.219000
reduce7,18,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903362,0.004903,876136822041.693115,876.136822,218980736890.321381,0.218981
reduce7,19,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4901925,0.004902,876393661673.730225,876.393662,219044931123.997223,0.219045
reduce7,20,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903893,0.004904,876041952791.384277,876.041953,218957025367.396881,0.218957
reduce7,21,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4904963,0.004905,875850847396.810181,875.850847,218909260681.477112,0.218909
reduce7,22,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903500,0.004903,876112164780.259033,876.112165,218974574079.738953,0.218975
reduce7,23,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4905858,0.004906,875691061583.926880,875.691062,218869323979.617828,0.218869
reduce7,24,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4904963,0.004905,875850847396.810181,875.850847,218909260681.477112,0.218909
reduce7,25,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903705,0.004904,876075538801.783447,876.075539,218965419820.319519,0.218965
reduce7,26,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4906955,0.004907,875495291886.719971,875.495292,218820393502.691589,0.218820
reduce7,27,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4903553,0.004904,876102695331.324097,876.102695,218972207295.403992,0.218972
reduce7,28,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4905445,0.004905,875764787904.053589,875.764788,218887751060.301392,0.218888
reduce7,29,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4902455,0.004902,876298915543.334961,876.298916,219021250373.537354,0.219021
reduce7,-1,42.000000,4294967296,1073741824,512,4295491648,524352,4296016000,1073741824,4901504,0.004902,876468936881.414307,876.468937,219063745332.045013,0.219064
