reduce5: bytes=4294967296 n=1073741824 blksize=1024
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce5,0,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5982316,0.005982,718294546794.251587,718.294547,179485975665.611786,0.179486
reduce5,1,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5809549,0.005810,739655515428.133911,739.655515,184823610920.572327,0.184824
reduce5,2,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5798459,0.005798,741070163641.753784,741.070164,185177100329.587585,0.185177
reduce5,3,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5804534,0.005805,740294562836.568726,740.294563,184983294783.009277,0.184983
reduce5,4,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5798960,0.005799,741006139031.826416,741.006139,185161101990.701782,0.185161
reduce5,5,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5797305,0.005797,741217679594.225220,741.217680,185213961314.783325,0.185214
reduce5,6,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5807889,0.005808,739866922387.807373,739.866922,184876436860.277466,0.184876
reduce5,7,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5803313,0.005803,740450318636.957886,740.450319,185022214724.589203,0.185022
reduce5,8,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5800164,0.005800,740852320727.482910,740.852321,185122666186.680237,0.185123
reduce5,9,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5805584,0.005806,740160672896.990234,740.160673,184949838638.111176,0.184950
reduce5,10,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5806750,0.005807,740012048047.530884,740.012048,184912700563.998779,0.184913
reduce5,11,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5797600,0.005798,741179964123.085449,741.179964,185204537049.813721,0.185205
reduce5,12,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5518512,0.005519,778663697750.408081,778.663698,194570895922.669006,0.194571
reduce5,13,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5521999,0.005522,778171991700.831543,778.171992,194448029418.332031,0.194448
reduce5,14,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5517552,0.005518,778799177606.300781,778.799178,194604749352.611450,0.194605
reduce5,15,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5511743,0.005512,779619978652.850830,779.619979,194809849443.270477,0.194810
reduce5,16,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5514551,0.005515,779222997484.291992,779.222997,194710652598.915100,0.194711
reduce5,17,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5520063,0.005520,778444912675.815430,778.444913,194516226354.662964,0.194516
reduce5,18,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5511979,0.005512,779586598570.132446,779.586599,194801508496.313202,0.194802
reduce5,19,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5518078,0.005518,778724940096.895996,778.724940,194586199035.243805,0.194586
reduce5,20,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5510884,0.005511,779741500637.647339,779.741501,194840215108.864563,0.194840
reduce5,21,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5507879,0.005508,780166913615.930908,780.166914,194946516435.818573,0.194947
reduce5,22,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5508762,0.005509,780041860585.009766,780.041861,194915268439.623993,0.194915
reduce5,23,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5512327,0.005512,779537382306.963989,779.537382,194789210436.898956,0.194789
reduce5,24,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5508388,0.005508,780094822659.551147,780.094823,194928502494.740723,0.194929
reduce5,25,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5513165,0.005513,779418892777.560547,779.418893,194759602515.070740,0.194760
reduce5,26,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5512090,0.005512,779570899604.324341,779.570900,194797585670.770996,0.194798
reduce5,27,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5511167,0.005511,779701460688.816040,779.701461,194830210008.152527,0.194830
reduce5,28,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5468690,0.005469,785757642140.988037,785.757642,196343516271.721375,0.196344
reduce5,29,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5465473,0.005465,786220142337.177368,786.220142,196459084877.008820,0.196459
reduce5,-1,42.000000,4294967296,1073741824,1024,4296016128,1048832,4297064960,1073741824,5465473,0.005465,786220142337.177368,786.220142,196459084877.008820,0.196459
