reduce: bytes=4294967296 n=1073741824 blksize=1024
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
trial, dresult, bytes, n, blksize, read, written, totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
0,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34654201,0.034654,124180156397.199860,124.180156,30984463442.109081,0.030984
1,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34503396,0.034503,124722914231.399139,124.722914,31119888140.865902,0.031120
2,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34501707,0.034502,124729019929.361755,124.729020,31121411586.968727,0.031121
3,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34499316,0.034499,124737664364.128250,124.737664,31123568478.864914,0.031124
4,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497035,0.034497,124745912221.151749,124.745912,31125626419.777813,0.031126
5,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34496987,0.034497,124746085795.840668,124.746086,31125669728.779503,0.031126
6,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497781,0.034498,124743214643.283875,124.743215,31124953341.201859,0.031125
7,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497405,0.034497,124744574265.803467,124.744574,31125292583.601578,0.031125
8,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34499598,0.034500,124736644757.425873,124.736645,31123314074.558201,0.031123
9,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34494801,0.034495,124753991188.411270,124.753991,31127642220.634930,0.031128
10,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34496652,0.034497,124747297215.973297,124.747297,31125971992.876293,0.031126
11,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34494883,0.034495,124753694627.693054,124.753695,31127568225.119072,0.031128
12,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34495051,0.034495,124753087044.283539,124.753087,31127416625.648708,0.031127
13,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497334,0.034497,124744831006.361252,124.744831,31125356643.501785,0.031125
14,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34498092,0.034498,124742090084.286392,124.742090,31124672750.017593,0.031125
15,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497692,0.034498,124743536466.149658,124.743536,31125033639.931618,0.031125
16,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497605,0.034498,124743851058.645950,124.743851,31125112134.596008,0.031125
17,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497304,0.034497,124744939488.604675,124.744939,31125383711.144501,0.031125
18,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34499491,0.034499,124737031627.510101,124.737032,31123410603.362236,0.031123
19,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497243,0.034497,124745160069.748199,124.745160,31125438748.829872,0.031125
20,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34496603,0.034497,124747474410.741257,124.747474,31126016205.131851,0.031126
21,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34494196,0.034494,124756179271.434540,124.756179,31128188174.033688,0.031128
22,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497243,0.034497,124745160069.748199,124.745160,31125438748.829872,0.031125
23,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34496751,0.034497,124746939211.753601,124.746939,31125882666.457489,0.031126
24,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34497888,0.034498,124742827734.845688,124.742828,31124856802.828049,0.031125
25,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34505356,0.034505,124715829623.667694,124.715830,31118120444.837605,0.031118
26,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34692772,0.034693,124042094416.669861,124.042094,30950015294.252075,0.030950
27,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34645085,0.034645,124212831343.897705,124.212831,30992616239.792744,0.030993
28,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34563850,0.034564,124504767264.063461,124.504767,31065457812.136089,0.031065
29,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34489419,0.034489,124773458781.662857,124.773459,31132499622.565403,0.031132
best result:
-1,42.000000,4294967296,1073741824,1024,4299165696,4198404,4303364100,1073741824,34489419,0.034489,124773458781.662857,124.773459,31132499622.565403,0.031132
