reduce3: bytes=4294967296 n=1073741824 blksize=512
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce3,0,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,14582255,0.014582,295686596071.732361,295.686596,73633455456.649185,0.073633
reduce3,1,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,14411223,0.014411,299195796498.326294,299.195796,74507335290.002792,0.074507
reduce3,2,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,14411254,0.014411,299195152899.255005,299.195153,74507175017.524506,0.074507
reduce3,3,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,14398910,0.014399,299451649048.434937,299.451649,74571049058.574570,0.074571
reduce3,4,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13334260,0.013334,323360827222.507996,323.360827,80525040309.698471,0.080525
reduce3,5,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13222540,0.013223,326092970337.015442,326.092970,81205413180.826080,0.081205
reduce3,6,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13221117,0.013221,326128067999.095703,326.128068,81214153388.098755,0.081214
reduce3,7,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13222078,0.013222,326104364533.320679,326.104365,81208250624.447983,0.081208
reduce3,8,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13221193,0.013221,326126193301.920654,326.126193,81213686540.995209,0.081214
reduce3,9,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13218939,0.013219,326181802034.187439,326.181802,81227534524.518188,0.081228
reduce3,10,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13220628,0.013221,326140130710.886047,326.140131,81217157309.017395,0.081217
reduce3,11,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13208593,0.013209,326437293056.118835,326.437293,81291158263.412308,0.081291
reduce3,12,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13209240,0.013209,326421303875.166138,326.421304,81287176552.171051,0.081287
reduce3,13,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13034343,0.013034,330801279665.572693,330.801280,82377901517.552505,0.082378
reduce3,14,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13021091,0.013021,331137947196.590515,331.137947,82461740264.314255,0.082462
reduce3,15,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13021111,0.013021,331137438579.549805,331.137439,82461613605.782181,0.082462
reduce3,16,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,13010150,0.013010,331416420563.944336,331.416421,82531087189.617340,0.082531
reduce3,17,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12963590,0.012964,332606735017.074707,332.606735,82827505652.369446,0.082828
reduce3,18,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12965156,0.012965,332566561019.396912,332.566561,82817501308.892853,0.082818
reduce3,19,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12970017,0.012970,332441919235.726501,332.441919,82786462346.194305,0.082786
reduce3,20,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12969271,0.012969,332461041487.991150,332.461041,82791224271.587830,0.082791
reduce3,21,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12973011,0.012973,332365196021.185852,332.365196,82767356321.520111,0.082767
reduce3,22,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12969347,0.012969,332459093275.860352,332.459093,82790739117.397354,0.082791
reduce3,23,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12968917,0.012969,332470116355.899292,332.470116,82793484143.664429,0.082793
reduce3,24,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12972702,0.012973,332373112710.058411,332.373113,82769327777.667297,0.082769
reduce3,25,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12972078,0.012972,332389100959.769165,332.389101,82773309257.005707,0.082773
reduce3,26,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12971943,0.012972,332392560158.489746,332.392560,82774170685.147171,0.082774
reduce3,27,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12970134,0.012970,332438920368.902893,332.438920,82785715552.360519,0.082786
reduce3,28,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12972566,0.012973,332376597197.501282,332.376597,82770195503.341446,0.082770
reduce3,29,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12970981,0.012971,332417212237.069824,332.417212,82780309677.425323,0.082780
reduce3,-1,42.000000,4294967296,1073741824,512,4303372320,8405024,4311777344,1073741824,12963590,0.012964,332606735017.074707,332.606735,82827505652.369446,0.082828
