reduce4: bytes=4294967296 n=1073741824 blksize=32
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce4,0,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,28796494,0.028796,153883853360.759827,153.883853,37287241425.987488,0.037287
reduce4,1,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26608714,0.026609,166536250492.977600,166.536250,40353014580.110863,0.040353
reduce4,2,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26609677,0.026610,166530223572.424408,166.530224,40351554210.898537,0.040352
reduce4,3,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606755,0.026607,166548512210.526978,166.548512,40355985688.596748,0.040356
reduce4,4,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26607718,0.026608,166542484402.457977,166.542484,40354525104.332512,0.040355
reduce4,5,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26605848,0.026606,166554189890.884125,166.554190,40357361434.223030,0.040357
reduce4,6,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26608292,0.026608,166538891710.899750,166.538892,40353654567.531059,0.040354
reduce4,7,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606027,0.026606,166553069347.783478,166.553069,40357089918.009926,0.040357
reduce4,8,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606738,0.026607,166548618624.349945,166.548619,40356011473.484650,0.040356
reduce4,9,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26609334,0.026609,166532370182.583313,166.532370,40352074351.052910,0.040352
reduce4,10,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606780,0.026607,166548355719.857880,166.548356,40355947769.703812,0.040356
reduce4,11,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606711,0.026607,166548787634.818878,166.548788,40356052426.021385,0.040356
reduce4,12,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26608206,0.026608,166539429978.856903,166.539430,40353784993.997719,0.040354
reduce4,13,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606813,0.026607,166548149152.624939,166.548149,40355897716.874245,0.040356
reduce4,14,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26604783,0.026605,166560857121.067291,166.560857,40358976955.384300,0.040359
reduce4,15,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606151,0.026606,166552293114.475647,166.552293,40356901830.708244,0.040357
reduce4,16,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606350,0.026606,166551047400.338623,166.551047,40356599984.590141,0.040357
reduce4,17,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26607576,0.026608,166543373210.697571,166.543373,40354740469.406158,0.040355
reduce4,18,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606191,0.026606,166552042718.177887,166.552043,40356841157.759109,0.040357
reduce4,19,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26606285,0.026606,166551454289.841675,166.551454,40356698577.046738,0.040357
reduce4,20,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26605192,0.026605,166558296591.131531,166.558297,40358356519.283905,0.040358
reduce4,21,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26607792,0.026608,166542021224.459351,166.542021,40354412872.740433,0.040354
reduce4,22,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26605082,0.026605,166558985234.475128,166.558985,40358523382.863472,0.040359
reduce4,23,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26604890,0.026605,166560187243.773621,166.560187,40358814638.962990,0.040359
reduce4,24,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26605856,0.026606,166554139810.423676,166.554140,40357349299.342216,0.040357
reduce4,25,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26605290,0.026605,166557683077.312805,166.557683,40358207860.166153,0.040358
reduce4,26,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26605773,0.026606,166554659396.665527,166.554659,40357475199.085556,0.040357
reduce4,27,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26604776,0.026605,166560900945.003265,166.560901,40358987574.261101,0.040359
reduce4,28,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26605315,0.026605,166557526569.409149,166.557527,40358169937.097153,0.040358
reduce4,29,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26605973,0.026606,166553407387.130707,166.553407,40357171827.544136,0.040357
reduce4,-1,42.000000,4294967296,1073741824,32,4363141376,68174084,4431315460,1073741824,26604776,0.026605,166560900945.003265,166.560901,40358987574.261101,0.040359
