reduce5: bytes=4294967296 n=1073741824 blksize=32
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce5,0,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,14938934,0.014939,292029175307.957092,292.029175,71875397802.815125,0.071875
reduce5,1,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,14757778,0.014758,295613918030.207520,295.613918,72757689131.792068,0.072758
reduce5,2,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,14757020,0.014757,295629102352.643005,295.629102,72761426358.438232,0.072761
reduce5,3,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,14756954,0.014757,295630424544.252197,295.630425,72761751781.566849,0.072762
reduce5,4,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13430083,0.013430,324838243814.278748,324.838244,79950497997.666870,0.079950
reduce5,5,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13369841,0.013370,326301904113.893372,326.301904,80310739970.654846,0.080311
reduce5,6,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13365117,0.013365,326417237948.609070,326.417238,80339126398.968307,0.080339
reduce5,7,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13365339,0.013365,326411816116.299011,326.411816,80337791955.744629,0.080338
reduce5,8,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13367837,0.013368,326350820704.950256,326.350821,80322779519.229630,0.080323
reduce5,9,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13366673,0.013367,326379240069.686707,326.379240,80329774207.837646,0.080330
reduce5,10,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13366475,0.013366,326384074784.114746,326.384075,80330964147.241516,0.080331
reduce5,11,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13363473,0.013363,326457394421.345398,326.457394,80349009871.909790,0.080349
reduce5,12,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13364924,0.013365,326421951669.908508,326.421952,80340286559.055634,0.080340
reduce5,13,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13283429,0.013283,328424578924.613525,328.424579,80833181251.618088,0.080833
reduce5,14,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13206860,0.013207,330328675854.820862,330.328676,81301825263.537277,0.081302
reduce5,15,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13210135,0.013210,330246782186.556030,330.246782,81281669263.788757,0.081282
reduce5,16,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13211490,0.013211,330212911337.025574,330.212911,81273332833.768188,0.081273
reduce5,17,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13209770,0.013210,330255907256.523010,330.255907,81283915162.792389,0.081284
reduce5,18,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13211422,0.013211,330214610963.149902,330.214611,81273751152.601135,0.081274
reduce5,19,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13210205,0.013210,330245032230.764038,330.245032,81281238557.615128,0.081281
reduce5,20,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13210009,0.013210,330249932153.717712,330.249932,81282444546.404175,0.081282
reduce5,21,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13209855,0.013210,330253782195.186890,330.253782,81283392134.130173,0.081283
reduce5,22,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13211561,0.013212,330211136746.066589,330.211137,81272896064.287933,0.081273
reduce5,23,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13209836,0.013210,330254257206.523987,330.254257,81283509045.835236,0.081284
reduce5,24,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13210595,0.013211,330235282816.557434,330.235283,81278838992.490494,0.081279
reduce5,25,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13209513,0.013210,330262332608.325500,330.262333,81285496596.278748,0.081285
reduce5,26,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13209967,0.013210,330250982156.125000,330.250982,81282702977.229248,0.081283
reduce5,27,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13210263,0.013210,330243582281.442871,330.243582,81280881690.243408,0.081281
reduce5,28,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13209480,0.013209,330263157671.611633,330.263158,81285699664.180573,0.081286
reduce5,29,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13209609,0.013210,330259932447.659851,330.259932,81284905859.060623,0.081285
reduce5,-1,42.000000,4294967296,1073741824,32,4328785936,33818640,4362604576,1073741824,13206860,0.013207,330328675854.820862,330.328676,81301825263.537277,0.081302
