reduce6: bytes=4294967296 n=1073741824 blksize=64
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
kernel,trial,dresult,bytes,n,blksize,read,written,totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
reduce6,0,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5215276,0.005215,826759186666.247437,826.759187,205883988498.403564,0.205884
reduce6,1,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5050188,0.005050,853785511351.260620,853.785511,212614228222.790924,0.212614
reduce6,2,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5049337,0.005049,853929405781.392700,853.929406,212650061582.342377,0.212650
reduce6,3,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5046098,0.005046,854477527784.834961,854.477528,212786557851.234772,0.212787
reduce6,4,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5040447,0.005040,855435508795.152466,855.435509,213025119399.132660,0.213025
reduce6,5,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5044257,0.005044,854789386028.507324,854.789386,212864218456.751923,0.212864
reduce6,6,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5036172,0.005036,856161652937.985352,856.161653,213205947692.016876,0.213206
reduce6,7,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5050323,0.005050,853762688841.882080,853.762689,212608544839.607300,0.212609
reduce6,8,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5045053,0.005045,854654518792.964111,854.654519,212830633097.412476,0.212831
reduce6,9,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5043205,0.005043,854967692965.088623,854.967693,212908621402.461334,0.212909
reduce6,10,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5039471,0.005039,855601181949.454590,855.601182,213066376212.900116,0.213066
reduce6,11,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5046000,0.005046,854494122869.599609,854.494123,212790690447.879517,0.212791
reduce6,12,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5044290,0.005044,854783793953.162842,854.783794,212862825888.281616,0.212863
reduce6,13,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5050959,0.005051,853655185876.583130,853.655186,212581773877.000397,0.212582
reduce6,14,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5050091,0.005050,853801910500.226685,853.801911,212618312026.456573,0.212618
reduce6,15,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5049697,0.005050,853868527953.261353,853.868528,212634901460.424286,0.212635
reduce6,16,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5048994,0.005049,853987416899.287231,853.987417,212664507820.765869,0.212665
reduce6,17,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5043463,0.005043,854923956813.007324,854.923957,212897729992.269196,0.212898
reduce6,18,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5038791,0.005039,855716647902.244873,855.716648,213095130161.183502,0.213095
reduce6,19,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5040035,0.005040,855505436767.800171,855.505437,213042533236.376343,0.213043
reduce6,20,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5042638,0.005043,855063826513.027466,855.063827,212932561092.031586,0.212933
reduce6,21,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5046967,0.005047,854330401605.558350,854.330402,212749919704.250092,0.212750
reduce6,22,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5045132,0.005045,854641136049.562256,854.641136,212827300455.171448,0.212827
reduce6,23,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5050112,0.005050,853798360115.577637,853.798360,212617427890.708160,0.212617
reduce6,24,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5038321,0.005038,855796473468.046143,855.796473,213115008749.938721,0.213115
reduce6,25,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5048992,0.005049,853987755179.647705,853.987755,212664592061.148041,0.212665
reduce6,26,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5046482,0.005046,854412508357.307129,854.412508,212770366366.114075,0.212770
reduce6,27,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5047772,0.005048,854194156154.438110,854.194156,212715991134.306396,0.212716
reduce6,28,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5039339,0.005039,855623593491.130371,855.623593,213071957254.711365,0.213072
reduce6,29,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5047437,0.005047,854250849292.423096,854.250849,212730109162.333282,0.212730
reduce6,-1,42.000000,4294967296,1073741824,64,4303372320,8405024,4311777344,1073741824,5036172,0.005036,856161652937.985352,856.161653,213205947692.016876,0.213206
